"user.index","sugg.select.utime","sugg.select.slot","sugg.select.update","sugg.decision.utime","sugg.decision.slot","send","jbsteps10","jbsteps30","jbsteps40","jbsteps60","jbsteps90","jbsteps120"
1,2015-08-16 21:30:00,4,2015-08-12,2015-08-16 21:33:47,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-16 23:30:00,5,2015-08-12,2015-08-16 23:32:04,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-17 10:30:00,1,2015-08-13,2015-08-17 10:32:25,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-17 16:30:00,2,2015-08-12,2015-08-17 16:32:00,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-17 18:30:00,3,2015-08-12,2015-08-17 18:32:04,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-17 21:30:00,4,2015-08-12,2015-08-17 21:30:58,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-18 10:30:00,1,2015-08-13,2015-08-18 10:31:38,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-18 16:30:00,2,2015-08-12,2015-08-18 16:31:58,2,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-18 18:30:00,3,2015-08-12,2015-08-18 18:31:58,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-18 21:30:00,4,2015-08-12,2015-08-18 21:31:58,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-18 23:30:00,5,2015-08-12,2015-08-18 23:31:34,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-19 10:30:00,1,2015-08-13,2015-08-19 10:31:11,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-19 16:30:00,2,2015-08-12,2015-08-19 16:31:30,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-19 18:30:00,3,2015-08-12,2015-08-19 18:32:13,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-19 21:30:00,4,2015-08-12,2015-08-19 21:32:01,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-19 23:30:00,5,2015-08-12,2015-08-19 23:32:29,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-20 16:30:00,2,2015-08-12,2015-08-20 16:35:01,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-20 18:30:00,3,2015-08-12,2015-08-20 18:32:43,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-20 21:30:00,4,2015-08-12,2015-08-20 21:31:30,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-21 10:30:00,1,2015-08-13,2015-08-21 10:33:14,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-21 16:30:00,2,2015-08-12,2015-08-21 16:32:01,2,TRUE,NA,NA,NA,NA,NA,NA
